Datenum,Date,Poudre Inf Flow (%),Horsetooth Inf Flow (%),Washwater Return Inf Flow (%),Poudre Temp (C),Poudre pH,Poudre Turb (NTU),Poudre DO (mg/l),Horsetooth Temp (C),Horsetooth pH,Horsetooth Turb (NTU),Horsetooth DO (mg/L),Finished Water Temp (C),Finished Water pH,Finished Water Turb (NTU),Finished Water Alk (mg/L),Finished Water Cl2 Res (mg/L),Notes
20100101,01-Jan-2010,0.643,0.328,0.029,0.87,7.88,0.67,12.36,5.98,7.59,4.53,9.88,2.01,8.05,0.03,41.35,0.8,
20100102,02-Jan-2010,0.709,0.242,0.05,0.74,8.07,0.73,12.38,6,7.6,4.41,9.86,1.82,8,0.03,40.99,0.76,
20100103,03-Jan-2010,0.654,0.296,0.05,0.72,8.06,0.74,12.38,6.06,7.59,4.45,9.84,1.85,7.97,0.03,40.31,0.74,
20100104,04-Jan-2010,0.577,0.359,0.064,0.7,7.75,0.75,12.35,6.17,7.61,4.42,9.87,1.97,8.02,0.03,38.55,0.75,
20100105,05-Jan-2010,0.598,0.337,0.065,0.7,7.51,0.58,10.36,7.11,7.59,4.41,9.79,1.92,7.94,0.03,37.96,0.76,
20100106,06-Jan-2010,0.438,0.539,0.023,0.74,7.52,,9.21,6.47,7.57,4.42,9.71,2.31,8.02,0.03,38.37,0.79,
20100107,07-Jan-2010,0.282,0.718,0,0.92,7.53,0.68,11.75,8.56,7.56,4.4,9.7,2.85,7.94,0.03,38.61,0.8,
20100108,08-Jan-2010,0.378,0.622,0,1.12,7.46,0.69,12.35,8.8,7.54,4.41,9.65,2.74,7.99,0.03,38.78,0.77,
20100109,09-Jan-2010,0.422,0.578,0,1.14,7.45,0.7,12.24,8.97,7.53,4.41,9.61,2.49,8.03,0.03,38.96,0.77,
20100110,10-Jan-2010,0.324,0.676,0,1.37,7.48,,12.28,9,7.52,4.38,9.57,2.8,8.15,0.03,40.19,0.8,
20100111,11-Jan-2010,0.335,0.665,0,1.42,7.48,,12.34,9.18,7.5,4.36,9.59,2.83,8.06,0.04,40.92,0.79,
20100112,12-Jan-2010,0.326,0.674,0,1.16,7.48,0.71,12.56,8.96,7.47,4.39,9.51,2.85,8.01,0.03,40.51,0.77,
20100113,13-Jan-2010,0.338,0.66,0.002,0.99,7.5,0.64,,9.42,7.48,4.34,9.46,2.86,7.98,0.03,39.9,0.76,
20100114,14-Jan-2010,0.326,0.674,0,1.01,7.54,0.6,,9.01,7.46,4.33,9.39,2.9,8.11,0.03,39.57,0.79,
20100115,15-Jan-2010,0.334,0.664,0.002,1,7.56,0.6,,8.76,7.45,4.34,9.38,2.89,8.04,0.03,39.85,0.8,
20100116,16-Jan-2010,0.33,0.636,0.034,0.99,7.54,0.62,,8.78,7.45,4.36,9.37,2.89,7.84,0.03,40.07,0.78,
20100117,17-Jan-2010,0.328,0.627,0.045,0.96,7.56,0.62,,7.89,7.44,4.39,9.31,2.87,7.86,0.03,40.21,0.77,
20100118,18-Jan-2010,0.332,0.624,0.044,1,7.59,0.61,,6.62,7.43,4.39,9.11,2.89,7.87,0.03,40.54,0.76,
20100119,19-Jan-2010,0.328,0.631,0.04,0.99,7.52,0.6,,7.36,7.42,4.41,9.06,2.95,7.98,0.03,40.36,0.79,
20100120,20-Jan-2010,0.317,0.641,0.042,1.11,7.49,0.61,12.03,6.87,7.42,4.37,9.15,3.31,7.96,0.04,39.56,0.8,
20100121,21-Jan-2010,0.318,0.638,0.044,0.99,7.5,0.77,12.87,6.98,7.41,4.36,9.21,2.95,7.93,0.04,38.82,0.81,
20100122,22-Jan-2010,0.307,0.657,0.037,0.97,7.51,0.59,,7.24,7.41,4.36,9.16,2.97,8.04,0.03,39.22,0.79,
20100123,23-Jan-2010,0.287,0.674,0.039,0.97,7.5,0.59,,7.56,7.41,4.34,9.14,3.04,8.35,0.03,40.23,0.76,
20100124,24-Jan-2010,0.343,0.61,0.047,0.96,7.52,0.58,,7.39,7.41,4.3,9.14,2.89,8.04,0.04,40.08,0.78,
20100125,25-Jan-2010,0.342,0.613,0.045,1.17,7.58,0.57,,7.41,7.39,4.32,9.05,2.85,8.19,0.03,40.29,0.8,
20100126,26-Jan-2010,0.321,0.639,0.04,0.95,7.66,0.57,,7.66,7.38,4.45,9.24,2.93,8.06,0.04,39.37,0.78,
20100127,27-Jan-2010,0.32,0.61,0.07,0.94,7.68,0.59,,7.52,7.38,4.41,9.3,2.93,8.14,0.04,39.57,0.76,
20100128,28-Jan-2010,0.318,0.638,0.043,0.94,7.69,0.59,,7.45,7.39,4.32,9.37,2.95,8.29,0.04,39.66,0.79,
20100129,29-Jan-2010,0.315,0.642,0.042,0.91,7.58,0.58,,7.12,7.53,4.2,10,2.9,8.13,0.03,39.73,0.79,
20100130,30-Jan-2010,0.319,0.635,0.047,0.92,7.64,0.57,,7.17,7.61,4.2,10.31,2.87,7.95,0.04,39.27,0.76,
20100131,31-Jan-2010,0.322,0.641,0.037,0.92,7.66,0.57,,7.29,7.58,4.17,10.19,2.89,7.93,0.04,38.75,0.75,
20100201,01-Feb-2010,0.321,0.615,0.064,0.92,7.69,0.58,,7.27,7.53,4.24,9.99,3.06,8.23,0.03,39.14,0.73,
20100202,02-Feb-2010,0.344,0.6,0.056,0.92,7.53,0.58,,7.1,7.49,4.2,9.8,2.87,8.33,0.03,39.62,0.75,
20100203,03-Feb-2010,0.32,0.639,0.041,0.91,7.47,0.56,,7.18,7.45,4.16,9.62,2.98,,0.04,39.04,0.78,
20100204,04-Feb-2010,0.368,0.566,0.067,0.84,7.5,0.59,,7.36,7.46,4.13,9.68,2.83,7.87,0.03,38.74,0.76,
20100205,05-Feb-2010,0.375,0.577,0.047,0.83,7.5,0.59,,6.32,7.47,4.19,9.79,2.75,7.99,0.04,38.9,0.74,
20100206,06-Feb-2010,0.329,0.626,0.045,0.9,7.53,0.56,,6.25,7.47,4.19,9.82,2.87,7.81,0.04,40.72,0.78,
20100207,07-Feb-2010,0.388,0.558,0.053,0.93,7.51,0.56,,6.31,7.46,4.21,9.75,2.82,7.6,0.03,40.62,0.82,
20100208,08-Feb-2010,0.406,0.527,0.067,0.91,7.4,0.56,11.46,6.37,7.48,4.07,9.77,2.95,7.74,0.03,39.49,0.8,
20100209,09-Feb-2010,0.385,0.571,0.044,0.86,7.42,0.56,11.24,6.37,7.48,3.88,9.69,3.08,7.84,0.04,39.53,0.76,
20100210,10-Feb-2010,0.428,0.529,0.043,0.74,7.45,0.65,11.3,6.34,7.5,3.77,9.78,2.98,7.96,0.04,40.72,0.75,
20100211,11-Feb-2010,0.426,0.526,0.048,0.74,7.51,0.66,11.38,6.29,7.48,3.82,9.68,2.96,7.94,0.03,40.14,0.77,
20100212,12-Feb-2010,0.421,0.526,0.053,0.76,7.56,0.65,11.43,6.31,7.45,3.9,9.5,2.96,7.83,0.03,39.7,0.78,
20100213,13-Feb-2010,0.416,0.538,0.046,0.76,7.55,0.63,11.42,6.31,7.43,3.95,9.4,2.98,7.85,0.03,39.26,0.75,
20100214,14-Feb-2010,0.431,0.517,0.052,0.74,7.53,0.62,11.46,6.29,7.39,3.93,9.24,2.91,7.89,0.03,38.88,0.73,
20100215,15-Feb-2010,0.428,0.526,0.046,0.73,7.52,0.61,11.57,6.24,7.4,3.87,9.26,2.95,7.88,0.03,,0.73,
20100216,16-Feb-2010,0.453,0.498,0.049,0.73,7.54,0.61,11.6,6.32,7.33,3.94,9.25,2.95,7.45,0.03,,0.79,
20100217,17-Feb-2010,0.46,0.49,0.049,0.73,7.56,0.63,11.62,6.27,7.25,4.03,9.14,2.88,7.99,0.03,,0.8,
20100218,18-Feb-2010,0.452,0.489,0.059,0.74,7.62,0.61,11.59,6.27,7.27,3.98,9.26,2.93,7.8,0.03,40.81,0.72,
20100219,19-Feb-2010,0.461,0.496,0.043,0.72,7.47,0.6,11.38,6.25,7.25,4.03,9.18,2.9,7.7,0.03,41.68,0.7,
20100220,20-Feb-2010,0.454,0.5,0.046,0.71,7.42,0.6,11.34,6.21,7.27,3.9,9.25,2.88,7.66,0.03,43.3,0.7,
20100221,21-Feb-2010,0.456,0.473,0.071,0.7,7.4,0.61,11.35,6.23,7.24,3.96,9.06,2.82,7.57,0.03,43.82,0.71,
20100222,22-Feb-2010,0.466,0.488,0.047,0.69,7.39,0.64,11.36,6.17,7.21,4.13,9.01,2.86,7.92,0.03,37.77,0.75,
20100223,23-Feb-2010,0.452,0.508,0.04,0.68,7.4,0.67,11.41,6.18,7.19,4.17,8.98,2.91,8.09,0.03,38.16,0.75,
20100224,24-Feb-2010,0.464,0.504,0.032,0.69,7.44,0.68,11.06,6.18,7.22,4.02,9.13,2.88,8.03,0.03,37.92,0.77,
20100225,25-Feb-2010,0.461,0.496,0.043,0.71,7.46,0.68,10.79,6.21,7.2,4,9.06,2.9,8.07,0.03,37.66,0.78,
20100226,26-Feb-2010,0.459,0.484,0.057,0.71,7.48,0.69,10.93,6.22,7.22,3.94,9.11,2.89,8.04,0.03,37.15,0.79,
20100227,27-Feb-2010,0.458,0.488,0.054,0.7,7.5,0.73,10.99,6.24,7.23,3.92,9,2.9,7.97,0.03,37.61,0.79,
20100228,28-Feb-2010,0.46,0.486,0.054,0.71,7.51,0.71,10.9,6.28,7.21,3.99,8.94,2.9,7.85,0.04,37.86,0.77,
20100301,01-Mar-2010,0.457,0.48,0.063,0.71,7.45,0.7,10.92,6.26,7.22,3.99,8.78,2.92,8.02,0.03,38.27,0.78,
20100302,02-Mar-2010,0.463,0.469,0.068,0.83,7.67,0.72,11.03,6.28,7.28,3.99,8.73,2.94,7.92,0.03,39.49,0.75,
20100303,03-Mar-2010,0.458,0.504,0.038,0.71,7.79,0.73,11.02,6.3,7.28,4.02,8.59,3,8.08,0.03,37.76,0.78,
20100304,04-Mar-2010,0.459,0.491,0.05,0.71,7.79,0.73,11,6.33,7.31,3.89,8.58,3,8.08,0.03,38.56,0.78,
20100305,05-Mar-2010,0.465,0.478,0.057,0.73,7.79,0.74,10.9,6.34,7.31,3.89,8.65,2.98,8.03,0.03,40.61,0.78,
20100306,06-Mar-2010,0.46,0.493,0.047,0.72,7.76,0.71,10.97,6.33,7.3,3.91,8.74,3,8,0.03,39.27,0.77,
20100307,07-Mar-2010,0.457,0.497,0.046,0.75,7.78,0.72,11,6.4,7.26,3.99,8.56,3.09,8.09,0.03,38.79,0.77,
20100308,08-Mar-2010,0.46,0.496,0.044,0.73,7.7,0.71,10.9,6.45,7.35,4.09,8.53,3.1,7.93,0.03,39.14,0.77,
20100309,09-Mar-2010,0.454,0.491,0.054,0.75,7.68,0.74,10.81,6.46,7.43,3.96,8.78,3.15,8.07,0.03,37.89,0.78,
20100310,10-Mar-2010,0.468,0.473,0.059,0.85,7.67,0.8,10.68,6.49,7.44,3.88,8.71,3.41,8.1,0.05,37.55,0.77,
20100311,11-Mar-2010,0.472,0.472,0.056,0.82,7.68,0.72,10.91,6.53,7.45,3.86,8.71,3.13,7.94,0.03,38.19,0.8,
20100312,12-Mar-2010,0.46,0.475,0.065,0.89,7.66,0.69,10.9,6.48,7.48,3.77,8.93,3.12,8,0.04,39.86,0.79,
20100313,13-Mar-2010,0.441,0.51,0.049,1.02,7.64,0.72,10.86,6.6,7.4,4.1,8.29,3.32,7.93,0.04,40.48,0.73,
20100314,14-Mar-2010,0.439,0.511,0.049,1.39,7.6,0.7,10.69,6.59,7.44,3.86,8.74,3.47,7.92,0.04,39.27,0.72,
20100315,15-Mar-2010,0.439,0.508,0.052,1.12,7.6,0.67,11.05,6.59,7.42,3.66,8.85,3.3,7.9,0.04,38.84,0.75,
20100316,16-Mar-2010,0.464,0.483,0.053,2.35,7.58,0.67,10.55,6.59,7.47,3.39,9.16,4.07,7.85,0.03,38.68,0.78,
20100317,17-Mar-2010,0.497,0.437,0.067,3.23,7.55,0.69,10.22,6.69,7.47,3.26,9.13,4.32,7.91,0.03,39.11,0.79,
20100318,18-Mar-2010,0.493,0.47,0.037,3.78,7.57,0.67,10,6.73,7.55,2.9,9.55,4.5,7.99,0.03,39.5,0.79,
20100319,19-Mar-2010,0.498,0.464,0.038,3.69,7.54,0.71,10.16,6.73,7.63,2.55,10.02,4.55,8.02,0.03,38.83,0.78,
20100320,20-Mar-2010,0.495,0.456,0.05,1.74,7.52,0.69,11.12,6.73,7.52,2.96,9.42,3.61,7.99,0.03,38.57,0.82,
20100321,21-Mar-2010,0.471,0.48,0.05,1.64,7.55,0.71,10.99,6.72,7.6,2.64,9.88,3.55,8.1,0.03,39.5,0.78,
20100322,22-Mar-2010,0.47,0.48,0.05,3.5,7.47,0.71,10.18,6.83,7.67,2.41,10.22,4.37,7.86,0.03,39.23,0.78,
20100323,23-Mar-2010,0.479,0.471,0.05,4.7,7.42,0.74,9.7,6.76,7.65,2.65,10.21,4.52,7.84,0.03,38.1,0.76,
20100324,24-Mar-2010,0.364,0.591,0.045,2.33,7.42,1.79,10.78,6.79,7.67,2.54,10.18,3.39,8.13,0.04,36.99,0.75,
20100325,25-Mar-2010,0,0.958,0.042,,,,,6.69,7.69,2.5,10.14,3.79,8.14,0.04,37.51,0.77,
20100326,26-Mar-2010,0,0.958,0.042,,,,,6.74,7.73,2.4,10.26,3.84,8.1,0.04,37.69,0.76,
20100327,27-Mar-2010,0,0.964,0.036,,,,,6.73,7.7,2.55,10.21,3.82,8.03,0.04,38.44,0.76,
20100328,28-Mar-2010,0,0.969,0.031,,,,,6.68,7.71,2.48,10.2,3.74,7.98,0.04,38.52,0.77,
20100329,29-Mar-2010,0,0.967,0.033,,,,,6.82,7.57,2.5,10.18,3.92,7.98,0.04,39.3,0.77,
20100330,30-Mar-2010,0,0.961,0.039,,,,,6.96,7.52,2.47,10.21,4.02,8.09,0.04,37.9,0.77,
20100331,31-Mar-2010,0,0.957,0.043,,,,,7.18,7.52,2.47,10.19,4.19,7.99,0.04,38.14,0.74,
20100401,01-Apr-2010,0,0.966,0.034,,,,,7.31,7.52,2.48,10.21,4.3,7.89,0.04,38.6,0.74,
20100402,02-Apr-2010,0,0.964,0.036,,,,,7.29,7.52,2.5,10.19,4.23,7.97,0.04,37.98,0.74,
20100403,03-Apr-2010,0,0.958,0.042,,,,,7.28,7.52,2.49,10.18,4.24,8.03,0.04,37.65,0.76,
20100404,04-Apr-2010,0,0.961,0.039,,,,,7.35,7.52,2.49,10.17,4.31,7.99,0.04,37.94,0.76,
20100405,05-Apr-2010,0,0.955,0.045,,,,,7.45,7.52,2.49,10.17,4.46,8.01,0.04,38.34,0.77,
20100406,06-Apr-2010,0,0.952,0.048,,,,,7.82,7.55,2.48,10.14,4.67,7.58,0.04,38.26,0.76,
20100407,07-Apr-2010,0,0.958,0.042,,,,,7.77,7.54,2.48,10.13,4.53,8.07,0.04,39.43,0.78,
20100408,08-Apr-2010,0,0.958,0.042,,,,,7.84,7.55,2.49,10.11,5.04,8.09,0.04,40.55,0.79,
20100409,09-Apr-2010,0,0.954,0.046,,,,,7.94,7.55,2.51,10.11,5.32,7.91,0.04,40.65,0.77,
20100410,10-Apr-2010,0,0.962,0.038,,,,,8.05,7.55,2.51,10.11,5.38,7.96,0.03,38.55,0.76,
20100411,11-Apr-2010,0,0.968,0.032,,,,,8.11,7.55,2.53,10.07,5.38,7.98,0.03,40.52,0.74,
20100412,12-Apr-2010,0,0.967,0.033,,,,,8.19,7.55,2.53,10.08,5.48,7.96,0.03,40.88,0.73,
20100413,13-Apr-2010,0,0.957,0.043,,,,,8.22,7.55,2.55,10.06,5.57,8.11,0.04,40.68,0.76,
20100414,14-Apr-2010,0,0.953,0.047,,,,,8.3,7.54,2.55,10.05,5.59,8.04,0.04,41.1,0.79,
20100415,15-Apr-2010,0,0.954,0.046,,,,,8.37,7.52,2.6,10.04,5.68,8,0.04,40.12,0.81,
20100416,16-Apr-2010,0,0.971,0.029,,,,,8.18,7.5,2.78,10.05,5.59,8.06,0.03,38.39,0.78,
20100417,17-Apr-2010,0,0.968,0.032,,,,,8.24,7.51,2.71,10.07,5.65,8.04,0.03,38.99,0.74,
20100418,18-Apr-2010,0,0.968,0.032,,,,,8.24,7.5,2.71,10.03,5.67,7.95,0.03,39.2,0.75,
20100419,19-Apr-2010,0.197,0.786,0.017,6.56,7.47,4.77,8.25,8.28,7.51,2.69,9.64,5.64,7.99,0.03,39.24,0.77,
20100420,20-Apr-2010,0.213,0.77,0.017,8.95,7.57,2,8.93,8.33,7.49,2.68,9.05,6.21,8.01,0.03,40.41,0.75,
20100421,21-Apr-2010,0.323,0.677,0,9.21,7.56,1.6,8.71,8.32,7.46,2.76,9.01,6.65,7.99,0.03,39.84,0.73,
20100422,22-Apr-2010,0.371,0.618,0.01,9.27,7.56,3.6,8.56,8.31,7.46,2.76,8.97,6.99,7.91,0.03,38.49,0.77,
20100423,23-Apr-2010,0.369,0.58,0.051,8.67,7.5,4.39,8.69,8.46,7.48,2.75,9.02,7.13,7.77,0.03,37.93,0.77,
20100424,24-Apr-2010,0.335,0.619,0.046,6,7.48,6.68,9.81,8.72,7.53,2.83,9.06,6.33,8.11,0.04,37.23,0.76,
20100425,25-Apr-2010,0.299,0.653,0.048,6.51,7.4,3.61,9.5,8.69,7.5,2.76,9.03,6.21,7.91,0.04,38.2,0.72,
20100426,26-Apr-2010,0.306,0.646,0.048,7.46,7.46,4.03,9.21,8.7,7.49,2.77,8.99,6.56,7.93,0.04,38.16,0.75,
20100427,27-Apr-2010,0.296,0.665,0.039,7.06,7.61,4.05,9.48,8.73,7.53,2.75,8.98,6.58,7.9,0.04,38.55,0.76,
20100428,28-Apr-2010,0.312,0.641,0.047,8.01,7.65,3.82,8.86,8.85,7.56,2.73,8.98,6.85,7.98,0.04,39.93,0.72,
20100429,29-Apr-2010,0.288,0.655,0.057,9.13,7.58,4.79,8.47,8.9,7.54,2.78,8.96,7.36,7.96,0.04,39.6,0.73,
20100430,30-Apr-2010,0.306,0.659,0.035,8.05,7.55,7.06,8.99,8.94,7.51,2.67,8.92,7.04,8.09,0.04,40.57,0.74,
20100501,01-May-2010,0.305,0.663,0.033,7.27,7.57,6.32,9.27,9.04,7.52,2.66,8.92,6.69,8.04,0.05,43.4,0.75,
20100502,02-May-2010,0.308,0.655,0.037,7.75,7.57,5.66,9.04,9,7.52,2.61,8.89,6.82,8,0.05,42.86,0.78,
20100503,03-May-2010,0.263,0.698,0.039,7.05,7.59,5.16,9.5,9.03,7.5,2.65,8.84,6.75,7.82,0.05,39.76,0.84,
20100504,04-May-2010,0.21,0.752,0.038,7.88,7.59,4.9,9.02,9.14,7.5,2.63,8.82,6.8,7.96,0.04,38.33,0.77,
20100505,05-May-2010,0.205,0.74,0.055,8.79,7.58,4.66,8.75,9.38,7.52,2.57,8.8,7.18,7.9,0.04,37.63,0.75,
20100506,06-May-2010,0.234,0.712,0.055,7.93,7.59,4.23,9.15,9.57,7.54,2.61,8.72,7.24,7.83,0.04,37.6,0.75,
20100507,07-May-2010,0.268,0.672,0.06,7.38,7.57,4.18,9.36,9.64,7.53,2.64,8.54,7.23,7.96,0.04,37.84,0.76,
20100508,08-May-2010,0.228,0.732,0.04,7.75,7.58,4.04,9.27,9.76,7.54,2.67,8.68,7.26,7.96,0.04,38.16,0.79,
20100509,09-May-2010,0.228,0.732,0.04,7.65,7.59,3.76,9.3,9.8,7.54,2.66,8.64,7.36,7.85,0.04,38.76,0.79,
20100510,10-May-2010,0.221,0.734,0.044,8.64,7.59,3.77,8.62,9.89,7.54,2.67,8.67,7.55,7.94,0.03,39.15,0.79,
20100511,11-May-2010,0.233,0.725,0.042,9.59,7.52,3.88,8.34,9.99,7.54,2.7,8.64,7.84,7.92,0.03,38.14,0.76,
20100512,12-May-2010,0.31,0.647,0.043,6.29,7.53,5.63,9.98,9.99,7.54,2.72,8.61,7.21,7.85,0.04,37.74,0.73,
20100513,13-May-2010,0.273,0.668,0.059,5.27,7.54,4.25,10.17,10.06,7.55,2.7,8.56,6.8,7.97,0.03,38.2,0.77,
20100514,14-May-2010,0.271,0.693,0.036,6.89,7.54,3.35,9.46,10.14,7.55,2.72,8.52,7.25,8.03,0.03,40.18,0.81,
20100515,15-May-2010,0.271,0.692,0.037,8.64,7.53,4.32,8.76,10.2,7.54,2.74,8.49,7.8,8.04,0.03,40.01,0.82,
20100516,16-May-2010,0.272,0.695,0.033,8.31,7.52,6.05,9.08,10.26,7.54,2.7,8.48,7.86,8.03,0.04,40.09,0.81,
20100517,17-May-2010,0.358,0.59,0.052,9.22,7.55,12.13,8.84,10.39,7.53,2.75,8.45,8.3,7.86,0.04,39.78,0.79,
20100518,18-May-2010,0.394,0.544,0.061,11.31,7.53,9.24,8.27,10.44,7.52,2.76,8.42,9.57,7.88,0.04,39.52,0.71,
20100519,19-May-2010,0.366,0.578,0.056,10.01,7.52,11.87,8.63,10.25,7.5,2.83,8.38,8.99,7.95,0.04,38.23,0.7,
20100520,20-May-2010,0.335,0.608,0.057,10.37,7.45,10.89,8.49,10.3,7.49,2.83,8.35,8.99,7.9,0.04,37.66,0.72,
20100521,21-May-2010,0.304,0.67,0.027,11.25,7.42,8.35,8.1,10.39,7.5,2.82,8.31,9.01,7.85,0.04,38.42,0.76,
20100522,22-May-2010,0.259,0.706,0.035,11.77,7.31,15.58,7.86,10.53,7.49,2.88,8.24,8.99,7.8,0.04,37.51,0.8,
20100523,23-May-2010,0.24,0.707,0.054,11.09,7.2,17.95,8.16,10.1,7.49,2.86,8.21,8.85,7.91,0.04,37.15,0.78,
20100524,24-May-2010,0.217,0.74,0.042,10.28,7.27,12.7,8.37,10.44,7.49,2.84,8.27,8.73,7.92,0.04,37.62,0.71,
20100525,25-May-2010,0.235,0.723,0.042,8.48,7.34,10.63,9.1,10.34,7.48,2.89,8.24,8.19,8.02,0.04,36.95,0.83,
20100526,26-May-2010,0.23,0.73,0.039,8.52,7.39,6.33,9.01,10.74,7.49,2.85,8.19,8.11,7.81,0.04,39.71,0.81,
20100527,27-May-2010,0.231,0.719,0.051,10.41,7.36,8.28,8.36,10.75,7.44,3.06,8.19,8.64,7.96,0.04,39.55,0.75,
20100528,28-May-2010,0.253,0.707,0.041,9.86,7.3,10.32,8.67,11.36,7.44,3.01,8.16,8.66,7.93,0.03,39.3,0.77,
20100529,29-May-2010,0.188,0.781,0.03,10.42,7.09,13.77,8.17,12.2,7.44,3.04,8.11,8.36,7.95,0.03,39.43,0.79,
20100530,30-May-2010,0.167,0.801,0.032,8.95,7.08,11.91,9.01,12.37,7.45,2.99,8.13,8.18,8,0.03,39.62,0.79,
20100531,31-May-2010,0.17,0.797,0.034,8.69,7.21,6.71,9.02,11.71,7.47,2.99,8.1,8.17,7.98,0.03,39.58,0.78,
20100601,01-Jun-2010,0.219,0.74,0.042,8.67,7.21,8.44,9.08,14.32,7.47,3.02,8.06,8.34,7.98,0.03,39.44,0.8,
20100602,02-Jun-2010,0.203,0.746,0.051,8.57,7.23,7.15,9.1,13.37,7.45,3.07,8.04,8.32,7.92,0.03,39.27,0.83,
20100603,03-Jun-2010,0.197,0.741,0.063,8.71,7.25,10.73,9.08,10.9,7.45,3.11,8.01,8.32,7.91,0.03,38.21,0.76,
20100604,04-Jun-2010,0.196,0.772,0.031,9.01,7.24,5.73,9.02,9.71,7.44,3.15,7.97,8.19,7.96,0.03,37.66,0.78,
20100605,05-Jun-2010,0.206,0.794,0,9.52,7.16,13.31,8.86,11.06,7.44,3.09,7.95,8.07,8.09,0.03,38.02,0.8,
20100606,06-Jun-2010,0.223,0.777,0,9.5,7.04,35.05,8.89,14.34,7.44,3.09,7.89,8.17,8.1,0.03,39.77,0.82,
20100607,07-Jun-2010,0.214,0.784,0.002,9.93,7.03,27.96,8.38,13.85,7.39,3.18,7.82,8.21,7.95,0.03,40.22,0.82,
20100608,08-Jun-2010,0.244,0.716,0.041,10.12,6.91,17.1,7.91,11.21,7.35,3.13,7.74,8.67,8.07,0.03,38.72,0.75,
20100609,09-Jun-2010,0.237,0.726,0.038,9.74,7.47,15.93,8.51,12.2,7.37,3.15,7.83,8.64,7.93,0.03,38.58,0.82,
20100610,10-Jun-2010,0.219,0.744,0.037,9.83,7.48,15.14,,13.37,7.35,3.19,,8.63,8.05,0.03,39.43,0.85,
20100611,11-Jun-2010,0.25,0.705,0.045,10.09,7.49,14.63,,13.42,7.33,3.2,,8.82,8.02,0.03,39.32,0.78,
20100612,12-Jun-2010,0.26,0.666,0.073,9.79,7.49,7.5,,13.61,7.32,3.22,,8.9,8.01,0.03,38.08,0.78,
20100613,13-Jun-2010,0.29,0.654,0.055,9.01,7.44,16.33,,13.59,7.31,3.24,,8.68,7.85,0.03,37.95,0.76,
20100614,14-Jun-2010,0.249,0.694,0.057,8.32,7.38,11.44,9.5,13.54,7.32,3.26,7.75,8.46,7.94,0.03,38.2,0.8,
20100615,15-Jun-2010,0.266,0.694,0.04,8.81,7.37,8.16,9.16,13.36,7.33,3.28,7.74,8.48,7.94,0.03,37.82,0.75,
20100616,16-Jun-2010,0.334,0.634,0.032,10.21,7.4,11.6,8.67,13.86,7.34,3.29,7.67,9.06,7.94,0.03,38.04,0.74,
20100617,17-Jun-2010,0.245,0.716,0.038,10.8,7.44,20.88,8.66,14.66,7.33,3.28,7.65,9.06,7.98,0.03,39.23,0.76,
20100618,18-Jun-2010,0.245,0.714,0.041,10.94,7.41,6.28,8.68,16.2,7.32,3.26,7.64,9.08,7.83,0.03,38.91,0.79,
20100619,19-Jun-2010,0.255,0.713,0.033,11.87,7.4,6.19,8.41,16.43,7.31,3.32,7.59,9.25,7.93,0.03,39.02,0.74,
20100620,20-Jun-2010,0.272,0.692,0.035,12.22,7.42,6.63,8.42,16,7.31,3.27,7.57,9.58,7.9,0.03,38.93,0.75,
20100621,21-Jun-2010,0.26,0.701,0.039,12.75,7.4,8.19,8.31,15.8,7.27,3.48,7.56,9.61,7.96,0.03,39.18,0.78,
20100622,22-Jun-2010,0.298,0.659,0.043,12.59,7.44,9.74,8.41,13.61,7.25,3.45,7.5,9.9,7.95,0.03,37.91,0.77,
20100623,23-Jun-2010,0.288,0.672,0.04,12.84,7.43,3.96,8.33,16,7.25,3.41,7.46,9.81,7.9,0.03,37.95,0.76,
20100624,24-Jun-2010,0.304,0.654,0.042,13.24,7.45,3.63,8.23,17.06,7.21,3.39,7.46,10.01,7.97,0.03,37.26,0.74,
20100625,25-Jun-2010,0.271,0.696,0.033,13.53,7.45,3.16,8.07,16.7,7.21,3.34,7.45,9.98,7.95,0.03,36.43,0.76,
20100626,26-Jun-2010,0.311,0.641,0.048,13.61,7.44,4.28,8.1,18.4,7.2,3.36,7.38,10.26,8.04,0.03,34.53,0.76,
20100627,27-Jun-2010,0.308,0.629,0.063,12.78,7.43,3.67,8.32,13.48,7.2,3.34,7.35,10.21,7.86,0.03,34.38,0.74,
20100628,28-Jun-2010,0.313,0.675,0.012,13.8,7.43,3.57,8.03,12.74,7.31,3.27,7.32,10.04,8.11,0.03,35.94,0.75,
20100629,29-Jun-2010,0.317,0.659,0.024,14.36,7.41,3.24,7.94,14.66,7.39,3.28,7.3,10.37,7.95,0.03,38.37,0.76,
20100630,30-Jun-2010,0.284,0.671,0.045,14.19,7.45,4.08,8.03,16.99,7.38,3.31,7.24,10.4,7.92,0.03,38.45,0.77,
20100701,01-Jul-2010,0.311,0.643,0.046,13.92,7.46,3.54,8.11,18.68,7.38,3.27,7.21,10.47,7.94,0.03,39.61,0.77,
20100702,02-Jul-2010,0.347,0.607,0.045,14.24,7.47,3.31,7.99,15.75,7.41,3.36,7.18,10.65,7.98,0.03,38.69,0.76,
20100703,03-Jul-2010,0.426,0.541,0.033,14.44,7.46,3.04,7.77,14.99,7.43,3.27,7.16,11.28,7.97,0.03,39.27,0.76,
